Life table:,Nigeria, ,2000
     ,     
Sex,Age range, Actual population, Actual deaths, nMx, nqx, lx, ndx, nLx, Tx, ex
both,'<1',    4192910,     533987, 0.12735, 0.11693,     100000,      11693,      91815,    5161945,         51.6
both,'1-4',   15490350,     177422, 0.01145, 0.04459,      88307,       3938,     343778,    5070130,         57.4
both,'5-9',   16932250,      52890, 0.00312, 0.01550,      84369,       1307,     418578,    4726352,         56.0
both,'10-14',   14684230,      25585, 0.00174, 0.00867,      83062,        720,     413508,    4307774,         51.9
both,'15-19',   12580990,      31769, 0.00253, 0.01255,      82341,       1033,     409124,    3894265,         47.3
both,'20-24',   10371470,      52087, 0.00502, 0.02480,      81308,       2016,     401501,    3485141,         42.9
both,'25-29',    8229800,      61279, 0.00745, 0.03655,      79292,       2898,     389215,    3083640,         38.9
both,'30-34',    6625350,      63204, 0.00954, 0.04659,      76394,       3559,     373072,    2694426,         35.3
both,'35-39',    5477010,      57110, 0.01043, 0.05081,      72835,       3701,     354922,    2321354,         31.9
both,'40-44',    4611790,      52686, 0.01142, 0.05553,      69134,       3839,     336072,    1966432,         28.4
both,'45-49',    3852130,      50288, 0.01305, 0.06321,      65295,       4127,     316155,    1630360,         25.0
both,'50-54',    2929560,      47651, 0.01627, 0.07815,      61167,       4780,     293887,    1314205,         21.5
both,'55-59',    2464620,      54816, 0.02224, 0.10535,      56387,       5940,     267085,    1020318,         18.1
both,'60-64',    1947810,      58147, 0.02985, 0.13890,      50447,       7007,     234717,     753233,         14.9
both,'65-69',    1460010,      65107, 0.04459, 0.20060,      43440,       8714,     195415,     518515,         11.9
both,'70-74',    1012230,      69481, 0.06864, 0.29294,      34726,      10172,     148198,     323101,          9.3
both,'75-79',     607820,      63214, 0.10400, 0.41270,      24553,      10133,      97434,     174903,          7.1
both,'80-84',     285470,      44389, 0.15550, 0.55984,      14420,       8073,      51918,      77469,          5.4
both,'85-89',      86890,      19606, 0.22564, 0.72131,       6347,       4578,      20290,      25551,          4.0
both,'90-94',      16380,       5204, 0.31768, 0.81330,       1769,       1439,       4528,       5261,          3.0
both,'95-99',       1740,        757, 0.43531, 0.86249,        330,        285,        654,        732,          2.2
both,'100+',        100,         58, 0.58128, 1.00000,         45,         45,         78,         78,          1.7
males,'<1',    2128480,     287138, 0.13490, 0.12326,     100000,      12326,      91372,    5059772,         50.6
males,'1-4',    7867210,      83936, 0.01067, 0.04161,      87674,       3648,     341939,    4968400,         56.7
males,'5-9',    8604550,      26518, 0.00308, 0.01529,      84026,       1285,     416916,    4626461,         55.1
males,'10-14',    7463250,      12261, 0.00164, 0.00818,      82741,        677,     412011,    4209546,         50.9
males,'15-19',    6391440,      12128, 0.00190, 0.00944,      82064,        775,     408382,    3797534,         46.3
males,'20-24',    5261610,      22373, 0.00425, 0.02104,      81289,       1710,     402169,    3389153,         41.7
males,'25-29',    4172070,      28162, 0.00675, 0.03319,      79579,       2641,     391291,    2986983,         37.5
males,'30-34',    3347560,      31887, 0.00953, 0.04652,      76938,       3579,     375740,    2595692,         33.7
males,'35-39',    2756050,      31198, 0.01132, 0.05504,      73358,       4038,     356698,    2219952,         30.3
males,'40-44',    2306630,      30249, 0.01311, 0.06349,      69321,       4401,     335601,    1863254,         26.9
males,'45-49',    1901230,      29834, 0.01569, 0.07550,      64920,       4901,     312345,    1527653,         23.5
males,'50-54',    1442800,      27906, 0.01934, 0.09225,      60018,       5537,     286250,    1215308,         20.2
males,'55-59',    1202030,      31267, 0.02601, 0.12212,      54482,       6653,     255776,     929058,         17.1
males,'60-64',     932620,      32731, 0.03510, 0.16133,      47829,       7716,     219853,     673282,         14.1
males,'65-69',     688900,      34545, 0.05014, 0.22279,      40113,       8937,     178221,     453429,         11.3
males,'70-74',     470970,      35502, 0.07538, 0.31714,      31176,       9887,     131161,     275208,          8.8
males,'75-79',     277120,      31121, 0.11230, 0.43843,      21289,       9334,      83110,     144047,          6.8
males,'80-84',     125660,      20994, 0.16707, 0.58923,      11955,       7044,      42165,      60937,          5.1
males,'85-89',      35650,       8591, 0.24097, 0.75189,       4911,       3692,      15323,      18772,          3.8
males,'90-94',       5970,       2012, 0.33698, 0.83787,       1218,       1021,       3029,       3448,          2.8
males,'95-99',        510,        234, 0.45788, 0.87966,        198,        174,        380,        419,          2.1
males,'100+',         20,         12, 0.60362, 1.00000,         24,         24,         39,         39,          1.7
females,'<1',    2064430,     246848, 0.11957, 0.11034,     100000,      11034,      92276,    5268204,         52.7
females,'1-4',    7623140,      93487, 0.01226, 0.04765,      88966,       4239,     345691,    5175927,         58.2
females,'5-9',    8327700,      26372, 0.00317, 0.01571,      84727,       1331,     420307,    4830237,         57.0
females,'10-14',    7220980,      13324, 0.00185, 0.00918,      83396,        766,     415065,    4409930,         52.9
females,'15-19',    6189550,      19641, 0.00317, 0.01574,      82630,       1301,     409898,    3994865,         48.3
females,'20-24',    5109860,      29715, 0.00582, 0.02866,      81329,       2331,     400819,    3584967,         44.1
females,'25-29',    4057730,      33117, 0.00816, 0.03999,      78998,       3159,     387094,    3184148,         40.3
females,'30-34',    3277790,      31317, 0.00955, 0.04666,      75839,       3538,     370350,    2797053,         36.9
females,'35-39',    2720960,      25911, 0.00952, 0.04651,      72301,       3363,     353098,    2426703,         33.6
females,'40-44',    2305160,      22437, 0.00973, 0.04751,      68938,       3275,     336503,    2073605,         30.1
females,'45-49',    1950900,      20454, 0.01048, 0.05108,      65663,       3354,     319930,    1737102,         26.5
females,'50-54',    1486760,      19744, 0.01328, 0.06427,      62309,       4004,     301533,    1417173,         22.7
females,'55-59',    1262590,      23550, 0.01865, 0.08910,      58304,       5195,     278534,    1115640,         19.1
females,'60-64',    1015190,      25416, 0.02504, 0.11780,      53109,       6256,     249905,     837106,         15.8
females,'65-69',     771110,      30562, 0.03963, 0.18030,      46853,       8448,     213145,     587201,         12.5
females,'70-74',     541260,      33979, 0.06278, 0.27131,      38405,      10420,     165977,     374056,          9.7
females,'75-79',     330700,      32093, 0.09704, 0.39049,      27986,      10928,     112608,     208080,          7.4
females,'80-84',     159810,      23396, 0.14640, 0.53586,      17058,       9141,      62437,      95472,          5.6
females,'85-89',      51240,      11015, 0.21498, 0.69914,       7917,       5535,      25747,      33035,          4.2
females,'90-94',      10410,       3192, 0.30661, 0.79854,       2382,       1902,       6203,       7288,          3.1
females,'95-99',       1230,        524, 0.42596, 0.85504,        480,        410,        963,       1084,          2.3
females,'100+',         80,         46, 0.57569, 1.00000,         70,         70,        121,        121,          1.7
